INFO:root:2017-01-20 00:00:00.000000 | Total BTC: 0.4001076980379 | Total rand: R5117.78
INFO:root:2017-01-21 00:00:00.000000 | Total BTC: 0.40078097106258004 | Total rand: R5097.93
INFO:root:2017-01-22 00:00:00.000000 | Total BTC: 0.39945822193102 | Total rand: R5185.37
INFO:root:2017-01-23 00:00:00.000000 | Total BTC: 0.39754442558364 | Total rand: R5086.18
INFO:root:2017-01-24 00:00:00.000000 | Total BTC: 0.39800922000328 | Total rand: R5093.72
INFO:root:2017-01-25 00:00:00.000000 | Total BTC: 0.39922538321677997 | Total rand: R5094.12
INFO:root:2017-01-26 00:00:00.000000 | Total BTC: 0.39738743204057997 | Total rand: R4953.43
INFO:root:2017-01-27 00:00:00.000000 | Total BTC: 0.39669869501798 | Total rand: R5118.21
INFO:root:2017-01-28 00:00:00.000000 | Total BTC: 0.39657171066456004 | Total rand: R5147.1
INFO:root:2017-01-29 00:00:00.000000 | Total BTC: 0.40089455830744 | Total rand: R5194.79
INFO:root:2017-01-30 00:00:00.000000 | Total BTC: 0.39880345655762 | Total rand: R5170.89
INFO:root:2017-01-31 00:00:00.000000 | Total BTC: 0.4008780079232 | Total rand: R5264.73
INFO:root:2017-02-01 00:00:00.000000 | Total BTC: 0.3938663391162 | Total rand: R5356.19
INFO:root:2017-02-02 00:00:00.000000 | Total BTC: 0.39082273301079995 | Total rand: R5442.21
INFO:root:2017-02-03 00:00:00.000000 | Total BTC: 0.38750439099994 | Total rand: R5581.23
INFO:root:2017-02-04 00:00:00.000000 | Total BTC: 0.38450115648872 | Total rand: R5547.97
INFO:root:2017-02-05 00:00:00.000000 | Total BTC: 0.3833516830313601 | Total rand: R5649.84
INFO:root:2017-02-06 00:00:00.000000 | Total BTC: 0.38661145525624 | Total rand: R5587.31
INFO:root:2017-02-07 00:00:00.000000 | Total BTC: 0.38545665273460006 | Total rand: R5609.17
INFO:root:2017-02-08 00:00:00.000000 | Total BTC: 0.38039311393244 | Total rand: R5685.36
INFO:root:2017-02-09 00:00:00.000000 | Total BTC: 0.38023928563036 | Total rand: R5640.47
INFO:root:2017-02-10 00:00:00.000000 | Total BTC: 0.38487578244452003 | Total rand: R5387.88
INFO:root:2017-02-11 00:00:00.000000 | Total BTC: 0.38610497836526003 | Total rand: R5503.54
INFO:root:2017-02-12 00:00:00.000000 | Total BTC: 0.38603763884173997 | Total rand: R5547.75
INFO:root:2017-02-13 00:00:00.000000 | Total BTC: 0.38717756642044 | Total rand: R5525.02
INFO:root:2017-02-14 00:00:00.000000 | Total BTC: 0.3868858621962 | Total rand: R5474.43
INFO:root:2017-02-15 00:00:00.000000 | Total BTC: 0.40345389095104 | Total rand: R5719.36
INFO:root:2017-02-16 00:00:00.000000 | Total BTC: 0.40671084958524 | Total rand: R5713.47
INFO:root:2017-02-17 00:00:00.000000 | Total BTC: 0.39833695918986006 | Total rand: R5709.36
INFO:root:2017-02-18 00:00:00.000000 | Total BTC: 0.39522772942289996 | Total rand: R5690.88
INFO:root:2017-02-19 00:00:00.000000 | Total BTC: 0.39477116521864003 | Total rand: R5709.58
INFO:root:2017-02-20 00:00:00.000000 | Total BTC: 0.39329897057216 | Total rand: R5682.38
INFO:root:2017-02-21 00:00:00.000000 | Total BTC: 0.37884206766740003 | Total rand: R5606.86
INFO:root:2017-02-22 00:00:00.000000 | Total BTC: 0.37733160614498 | Total rand: R5753.55
INFO:root:2017-02-23 00:00:00.000000 | Total BTC: 0.37855181282218003 | Total rand: R5800.17
INFO:root:2017-02-24 00:00:00.000000 | Total BTC: 0.37644409758266 | Total rand: R5898.88
INFO:root:2017-02-25 00:00:00.000000 | Total BTC: 0.3694194599596 | Total rand: R5984.96
INFO:root:2017-02-26 00:00:00.000000 | Total BTC: 0.37745032704154 | Total rand: R5876.9
INFO:root:2017-02-27 00:00:00.000000 | Total BTC: 0.38168538876416 | Total rand: R6063.45
INFO:root:2017-02-28 00:00:00.000000 | Total BTC: 0.38612112753048 | Total rand: R6187.59
INFO:root:2017-03-01 00:00:00.000000 | Total BTC: 0.39009873450339994 | Total rand: R6335.59
INFO:root:2017-03-02 00:00:00.000000 | Total BTC: 0.39529144416708 | Total rand: R6573.7
INFO:root:2017-03-03 00:00:00.000000 | Total BTC: 0.40673666601802005 | Total rand: R7054.03
INFO:root:2017-03-04 00:00:00.000000 | Total BTC: 0.4087297434237201 | Total rand: R7205.5
INFO:root:2017-03-05 00:00:00.000000 | Total BTC: 0.40390448185958 | Total rand: R7000.07
INFO:root:2017-03-06 00:00:00.000000 | Total BTC: 0.4142804000908801 | Total rand: R7263.16
INFO:root:2017-03-07 00:00:00.000000 | Total BTC: 0.41662799657782007 | Total rand: R7330.15
INFO:root:2017-03-08 00:00:00.000000 | Total BTC: 0.41164145004556 | Total rand: R7018.49
INFO:root:2017-03-09 00:00:00.000000 | Total BTC: 0.4038139828588 | Total rand: R6319.69
INFO:root:2017-03-10 00:00:00.000000 | Total BTC: 0.40749086551552005 | Total rand: R6746.83
INFO:root:2017-03-11 00:00:00.000000 | Total BTC: 0.43616376020458 | Total rand: R6663.27
INFO:root:2017-03-12 00:00:00.000000 | Total BTC: 0.44546356870330006 | Total rand: R7306.05
INFO:root:2017-03-13 00:00:00.000000 | Total BTC: 0.45909393327397996 | Total rand: R7773.38
INFO:root:2017-03-14 00:00:00.000000 | Total BTC: 0.5021345879150599 | Total rand: R8536.29
INFO:root:2017-03-15 00:00:00.000000 | Total BTC: 0.49923098752792 | Total rand: R8624.22
INFO:root:2017-03-16 00:00:00.000000 | Total BTC: 0.5504957994531601 | Total rand: R9468.53
INFO:root:2017-03-17 00:00:00.000000 | Total BTC: 0.6690188499665201 | Total rand: R10676.2
INFO:root:2017-03-18 00:00:00.000000 | Total BTC: 0.7052221445266199 | Total rand: R10409.78
INFO:root:2017-03-19 00:00:00.000000 | Total BTC: 0.6475698384997801 | Total rand: R7933.38
INFO:root:2017-03-20 00:00:00.000000 | Total BTC: 0.721811576512 | Total rand: R10070.72
INFO:root:2017-03-21 00:00:00.000000 | Total BTC: 0.70250070478128 | Total rand: R10042.25
INFO:root:2017-03-22 00:00:00.000000 | Total BTC: 0.66332072472032 | Total rand: R9724.28
INFO:root:2017-03-23 00:00:00.000000 | Total BTC: 0.6889372868774402 | Total rand: R9162.18
